PVWatts: Hourly PV Performance Data;;;;;;;;;;
Requested Location:;montpelleir, france;;;;;;;;;
Location:;MONTPELLIER, FRANCE;;;;;;;;;
Lat (deg N):;43.58;;;;;;;;;
Lng (deg E):;3.97;;;;;;;;;
Elev (m):;6;;;;;;;;;
DC System Size (kW):;8.505;;;;;;;;;
Module Type:;Premium;;;;;;;;;
Array Type:;Fixed (open rack);;;;;;;;;
Array Tilt (deg):;0;;;;;;;;;
Array Azimuth (deg):;180;;;;;;;;;
System Losses:;14.08;;;;;;;;;
Invert Efficiency:;96;;;;;;;;;
DC to AC Size Ratio:;1.2;;;;;;;;;
;;;;;;;;;;
Month;Day;Hour;Beam Irradiance (W/m^2);Diffuse Irradiance (W/m^2);Ambient Temperature (C);Wind Speed (m/s);Plane of Array Irradiance (W/m^2);Cell Temperature (C);DC Array Output (W);AC System Output (W)
3;9;13;902;82;13;8.8;679.558;22.073;4961.303;4774.879
3;9;14;880;77;13;10.8;613.486;20.075;4485.005;4316.983
3;9;15;791;85;13.1;9.8;489.848;19.012;3540.296;3405.836
3;9;16;624;88;13;7.2;322.467;17.522;2255.463;2160.387
3;9;17;276;80;11;7.2;138.234;12.413;938.527;876.331
3;9;18;0;15;8.8;6.2;15;7.989;116.138;70.629
3;9;19;0;0;7;4.1;0;7;0;0
3;9;20;0;0;6;3.1;0;6;0;0
3;9;21;0;0;4.7;1;0;4.7;0;0
3;9;22;0;0;4;1;0;4;0;0
3;9;23;0;0;3;1;0;3;0;0
3;10;0;0;0;3.3;1;0;3.3;0;0
3;10;1;0;0;0;2.1;0;0;0;0
3;10;2;0;0;-1;1;0;-1;0;0
3;10;3;0;0;0.5;2.1;0;0.5;0;0
3;10;4;0;0;-1;1;0;-1;0;0
3;10;5;0;0;-2;2.1;0;-2;0;0
3;10;6;0;0;-0.6;2.1;0;-0.6;0;0
3;10;7;14;24;-1;0;25.081;-4.111;196.523;149.513
3;10;8;246;111;3;1;171.505;6.271;1236.538;1167.566
3;10;9;553;125;6.9;2.1;349.935;15.023;2517.494;2414.973
3;10;10;747;107;10;2.1;508.06;22.879;3646.195;3508.167
3;10;11;840;93;13;4.1;619.951;26.029;4450.538;4283.809
3;10;12;858;99;14.1;4.1;675.438;28.522;4826.416;4645.304
3;10;13;868;95;14.7;4.4;674.308;28.661;4813.871;4633.25
3;10;14;852;86;15.4;4.8;609.415;27.378;4347.056;4184.178
3;10;15;747;101;16;5.1;486.662;25.085;3451.815;3320.299
3;10;16;599;94;15;8.2;321.616;19.139;2245.609;2150.808
3;10;17;269;82;14;7.2;139.846;15.467;944.717;882.385
3;10;18;0;15;11.6;6.2;15;10.817;115.054;69.564
3;10;19;0;0;10;4.1;0;10;0;0
3;10;20;0;0;9;4.1;0;9;0;0
3;10;21;0;0;9.8;6.2;0;9.8;0;0
3;10;22;0;0;10;5.1;0;10;0;0
3;10;23;0;0;9;5.1;0;9;0;0
3;11;0;0;0;8.4;5.1;0;8.4;0;0
3;11;1;0;0;8.4;4.4;0;8.4;0;0
3;11;2;0;0;8.4;3.8;0;8.4;0;0
3;11;3;0;0;8.4;3.1;0;8.4;0;0
3;11;4;0;0;8;7.2;0;8;0;0
3;11;5;0;0;10;9.3;0;10;0;0
3;11;6;0;0;8.1;4.1;0;8.1;0;0
3;11;7;20;25;8;5.1;26.647;7.122;199.312;152.249
3;11;8;246;113;10;5.1;174.877;12.05;1240.028;1170.974
3;11;9;570;124;11.9;7.2;359.014;16.662;2570.801;2466.728
3;11;10;774;101;13;7.2;520.78;20.522;3769.729;3627.476
3;11;11;788;138;15;5.1;636.514;26.819;4564.241;4393.226
3;11;12;895;88;16;5.1;693.877;29.11;4948.787;4762.859
3;11;13;892;88;17;7.2;687.696;27.548;4930.086;4744.899
3;11;14;857;86;18;8.2;616.486;26.655;4411.015;4245.762
3;11;15;729;107;17.8;6.2;486.603;25.852;3446.776;3315.426
3;11;16;578;100;17;6.2;322.077;22.038;2234.303;2139.816
3;11;17;263;84;15;5.1;141.616;16.938;956.502;893.909
3;11;18;0;16;12;6.2;16;11.24;122.551;76.922
3;11;19;0;0;11;3.1;0;11;0;0
3;11;20;0;0;10;1;0;10;0;0
3;11;21;0;0;9.1;2.1;0;9.1;0;0
3;11;22;0;0;8;4.1;0;8;0;0
3;11;23;0;0;8;3.1;0;8;0;0
3;12;0;0;0;7.4;3.1;0;7.4;0;0
3;12;1;0;0;6;3.1;0;6;0;0
3;12;2;0;0;6;3.6;0;6;0;0
3;12;3;0;0;6;4.1;0;6;0;0
3;12;4;0;0;5;2.1;0;5;0;0
3;12;5;0;0;5;4.1;0;5;0;0
3;12;6;0;0;3.1;2.1;0;3.1;0;0
3;12;7;19;26;6;5.1;27.645;5.127;208.696;161.457
3;12;8;222;117;9;8.2;174.081;10.529;1250.755;1181.45
3;12;9;319;185;10.6;6.2;318.297;15.112;2335.359;2238.045
3;12;10;376;252;13;7.2;457.974;19.487;3365.94;3237.248
3;12;11;470;256;14;5.1;555.825;24.16;4040.136;3888.404
3;12;12;479;278;15;7.2;604.704;24.073;4407.529;4242.406
3;12;13;394;309;15;8.2;575.808;22.952;4215.956;4057.889
3;12;14;291;311;15;10.8;492.48;20.554;3631.897;3494.354
3;12;15;226;251;14;11.8;369.678;17.747;2739.282;2630.223
3;12;16;217;177;15;8.8;261.286;18.005;1902.272;1816.759
3;12;17;119;96;13;3.1;122.547;14.925;878.432;817.556
3;12;18;0;15;11.8;7.2;15;11.061;114.96;69.472
3;12;19;0;0;10;5.1;0;10;0;0
3;12;20;0;0;9;2.1;0;9;0;0
3;12;21;0;0;7.2;2.1;0;7.2;0;0
3;12;22;0;0;7;3.1;0;7;0;0
3;12;23;0;0;5.6;2.6;0;5.6;0;0
3;13;0;0;0;4.3;2.1;0;4.3;0;0
3;13;1;0;0;4.3;2.4;0;4.3;0;0
3;13;2;0;0;4.2;2.8;0;4.2;0;0
3;13;3;0;0;4.2;3.1;0;4.2;0;0
3;13;4;0;0;3;2.1;0;3;0;0
3;13;5;0;0;2;2.1;0;2;0;0
3;13;6;0;0;1.6;2.1;0;1.6;0;0
3;13;7;18;28;3;2.1;29.612;1.688;226.888;179.303
3;13;8;254;119;9;2.1;185.731;12.156;1321.958;1250.971
3;13;9;581;125;11.6;3.1;371.003;19.292;2640.485;2534.365
3;13;10;761;108;13;3.1;529.017;24.88;3779.992;3637.385
3;13;11;772;122;14;3.1;618.552;28.336;4414.818;4249.423
3;13;12;430;313;15.5;2.1;608.464;31.685;4320.647;4158.744
3;13;13;455;267;15;5.1;577.32;25.821;4182.401;4025.553
3;13;14;358;270;16;4.1;494.914;26.464;3571.208;3435.711
3;13;15;227;251;15.8;3.1;371.198;24.262;2690.019;2582.431
3;13;16;370;144;15;3.1;289.258;21.217;2052.429;1962.917
3;13;17;278;78;15;1;141.128;18.784;942.362;880.081
3;13;18;0;18;13.1;3.1;18;12.164;137.444;91.54
3;13;19;0;0;10;2.1;0;10;0;0
3;13;20;0;0;9;3.1;0;9;0;0
3;13;21;0;0;6.6;1;0;6.6;0;0
3;13;22;0;0;5;2.1;0;5;0;0
3;13;23;0;0;4.5;2.1;0;4.5;0;0
3;14;0;0;0;4.1;2.1;0;4.1;0;0
3;14;1;0;0;3.7;2.1;0;3.7;0;0
3;14;2;0;0;3.4;2.1;0;3.4;0;0
3;14;3;0;0;3;2.1;0;3;0;0
3;14;4;0;0;1;2.1;0;1;0;0
3;14;5;0;0;2;2.1;0;2;0;0
3;14;6;0;0;1.9;2.1;0;1.9;0;0
3;14;7;15;30;2;2.1;31.385;0.738;242.761;194.875
3;14;8;254;122;6;1;190.155;9.949;1367.118;1295.054
3;14;9;581;127;9.8;1;376.228;20.628;2669.985;2562.991
3;14;10;776;105;12;1;538.528;28.671;3799.238;3655.967
3;14;11;872;87;13;2.1;652.455;30.133;4625.159;4451.824
3;14;12;890;93;13.3;2.1;709.034;32.21;5007.274;4819.022
3;14;13;873;101;14;4.1;700.61;29.137;5001.078;4813.073
3;14;14;850;94;14;5.1;631.906;26.01;4539.233;4369.166
3;14;15;761;100;13;4.1;506.267;23.83;3617.757;3480.692
3;14;16;613;95;13.4;3.1;338.202;21.124;2359.29;2261.301
3;14;17;333;76;13.8;2;152.943;17.226;1014.934;951.038
3;14;18;0;19;14.2;1;19;13.177;144.588;98.55
3;14;19;0;0;12;4.1;0;12;0;0
3;14;20;0;0;9;3.1;0;9;0;0
3;14;21;0;0;8.2;1;0;8.2;0;0
3;14;22;0;0;8;2.1;0;8;0;0
3;14;23;0;0;9;2.1;0;9;0;0
3;15;0;0;0;7;2.1;0;7;0;0
3;15;1;0;0;6;1;0;6;0;0
3;15;2;0;0;4.7;1;0;4.7;0;0
3;15;3;0;0;3.5;1;0;3.5;0;0
3;15;4;0;0;3;1;0;3;0;0
3;15;5;0;0;2;1;0;2;0;0
3;15;6;0;0;1;2.1;0;1;0;0
3;15;7;21;32;3;2.1;33.998;1.827;260.031;211.815
3;15;8;378;94;7;2.6;197.549;10.275;1377.862;1305.54
3;15;9;587;128;11;3.1;383.056;19.013;2737.375;2628.373
3;15;10;778;106;13;3.1;544.857;25.28;3893.353;3746.806
3;15;11;869;90;15;4.1;658.057;28.887;4688.138;4512.389
3;15;12;888;94;16.2;4.1;713.106;31.457;5051.482;4861.463
3;15;13;865;104;17;5.1;702.254;30.397;4992.322;4804.666
3;15;14;833;100;17;5.1;630.936;29.013;4487.246;4319.139
3;15;15;717;113;15.9;6.2;498.877;24.161;3566.989;3431.635
3;15;16;541;117;15;6.2;333.868;20.234;2353.574;2255.746
3;15;17;307;80;14;6.2;152.151;15.868;1025.063;960.94
3;15;18;0;19;12.2;6.2;19;11.508;145.399;99.346
3;15;19;0;0;12;7.2;0;12;0;0
3;15;20;0;0;12;6.2;0;12;0;0
3;15;21;0;0;11.1;4.1;0;11.1;0;0
3;15;22;0;0;12;1;0;12;0;0
3;15;23;0;0;11;1;0;11;0;0
3;16;0;0;0;11.2;2.1;0;11.2;0;0
3;16;1;0;0;10;3.1;0;10;0;0
3;16;2;0;0;8.9;2;0;8.9;0;0
3;16;3;0;0;7.8;1;0;7.8;0;0
3;16;4;0;0;8;1;0;8;0;0
3;16;5;0;0;9;1;0;9;0;0
3;16;6;0;0;8.8;0;0;8.8;0;0
3;16;7;0;13;10;2.1;13;8.279;100.557;55.335
3;16;8;0;91;14;5.1;91;14.44;689.561;632.728
3;16;9;45;189;15.2;7.2;208.802;17.532;1556.637;1479.954
3;16;10;54;264;18;10.3;294.752;21.041;2177.973;2085.042
3;16;11;87;298;18;12.9;355.324;21.308;2624.598;2518.947
3;16;12;89;323;17.3;9.8;385.494;21.721;2845.14;2732.885
3;16;13;88;320;17;9.8;381.281;21.384;2817.161;2705.756
3;16;14;87;289;17;8.2;344.845;21.409;2545.517;2442.181
3;16;15;43;253;12.6;9.8;276.326;15.542;2080.704;1990.428
3;16;16;21;178;14;12.9;186.504;15.426;1403.623;1330.682
3;16;17;5;85;12;14.4;86.195;12.258;655.959;599.829
3;16;18;0;11;11;8.7;11;10.246;84.533;39.606
3;16;19;0;0;11;8.7;0;11;0;0
3;16;20;0;0;11;8.8;0;11;0;0
3;16;21;0;0;12.3;12.9;0;12.3;0;0
3;16;22;0;0;13;8.8;0;13;0;0
3;16;23;0;0;13;6.2;0;13;0;0
3;17;0;0;0;12.2;5.1;0;12.2;0;0
3;17;1;0;0;12;3.1;0;12;0;0
3;17;2;0;0;11;3.1;0;11;0;0
3;17;3;0;0;10.1;3.1;0;10.1;0;0
3;17;4;0;0;11;5.1;0;11;0;0
3;17;5;0;0;11;7.2;0;11;0;0
3;17;6;0;0;10.9;4.1;0;10.9;0;0
3;17;7;0;22;11;5.1;22;10.037;169.184;122.687
3;17;8;14;108;11;4.1;111.992;11.924;850.83;790.555
3;17;9;24;202;11.8;2.1;212.694;15.996;1598.494;1520.769
3;17;10;45;273;12;1;298.869;20.464;2213.975;2120.052
3;17;11;89;302;13;2.1;361.103;21.799;2662.909;2556.126
3;17;12;89;326;11.6;2.1;388.935;21.353;2874.38;2761.233
3;17;13;89;323;13;3.1;385.397;21.546;2846.12;2733.835
3;17;14;87;291;12.2;3.1;347.234;19.836;2577.302;2473.039
3;17;15;44;256;11.4;3.1;280.056;17.337;2096.032;2005.341
3;17;16;72;185;12;1;214.451;18.105;1588.45;1510.975
3;17;17;50;99;13;2.1;111.144;14.794;821.528;761.886
3;17;18;0;16;12;2.1;16;10.798;122.732;77.1
3;17;19;0;0;11;1;0;11;0;0
3;17;20;0;0;10;1;0;10;0;0
3;17;21;0;0;9.8;2.1;0;9.8;0;0
3;17;22;0;0;9;1;0;9;0;0
3;17;23;0;0;9;2.1;0;9;0;0
3;18;0;0;0;10.3;1;0;10.3;0;0
3;18;1;0;0;11.9;3.1;0;11.9;0;0
3;18;2;0;0;13.4;5.1;0;13.4;0;0
3;18;3;0;0;15;7.2;0;15;0;0
3;18;4;0;0;15;3.1;0;15;0;0
3;18;5;0;0;15;4.1;0;15;0;0
3;18;6;0;0;15.1;6.2;0;15.1;0;0
3;18;7;0;24;16;7.2;24;15.319;181.322;134.598
3;18;8;14;110;17;11.8;114.071;17.578;850.39;790.123
3;18;9;23;204;17.7;13.9;214.375;19.301;1593.4;1515.801
3;18;10;127;269;18;13.9;342.687;20.974;2526.671;2423.884
3;18;11;160;349;18.2;11;456.078;23.143;3345.073;3217.063
3;18;12;279;336;18.5;8.2;534.666;25.764;3884.582;3738.343
3;18;13;352;315;17.7;9;563.433;24.978;4101.67;3947.737
3;18;14;417;265;17;9.8;536.391;23.53;3912.363;3765.15
3;18;15;399;231;18;9.8;450.834;23.407;3266.207;3140.754
3;18;16;256;172;19;8.2;277.749;22.514;1990.585;1902.732
3;18;17;59;98;17;7.2;112.56;18.023;819.859;760.253
3;18;18;0;12;16.3;6.2;12;15.484;90.611;45.572
3;18;19;0;0;16;10.3;0;16;0;0
3;18;20;0;0;16;9.8;0;16;0;0
3;18;21;0;0;15.5;8.7;0;15.5;0;0
3;18;22;0;0;15;9.8;0;15;0;0
3;18;23;0;0;15;8.2;0;15;0;0
3;19;0;0;0;14.3;8.2;0;14.3;0;0
3;19;1;0;0;15;8.8;0;15;0;0
3;19;2;0;0;14.5;7.5;0;14.5;0;0
3;19;3;0;0;14;6.2;0;14;0;0
3;19;4;0;0;14;3.1;0;14;0;0
3;19;5;0;0;13;4.1;0;13;0;0
3;19;6;0;0;12.4;2.1;0;12.4;0;0
3;19;7;59;41;14;3.1;47.885;13.433;339.318;289.573
3;19;8;332;118;16;3.1;216.399;19.66;1498.868;1423.609
3;19;9;620;119;18.2;3.1;402.082;26.689;2808.208;2697.073
3;19;10;761;115;21;2.1;560.601;35.194;3879.617;3733.552
3;19;11;832;110;22;1;671.07;42.96;4551.707;4381.167
3;19;12;852;116;22.4;2.1;726.846;41.505;4971.103;4784.29
3;19;13;845;117;22;5.1;717.308;35.74;5009.08;4820.756
3;19;14;823;106;22;5.1;645.252;34.351;4510.104;4341.137
3;19;15;733;113;21.8;5.1;519.93;31.639;3629.709;3492.24
3;19;16;522;127;19;5.1;344.725;25.238;2404.272;2305.005
3;19;17;237;92;15;6.2;151.408;16.88;1046.87;982.255
3;19;18;0;18;13.9;4.1;18;13.067;137.029;91.132
3;19;19;0;0;13;3.1;0;13;0;0
3;19;20;0;0;13;2.1;0;13;0;0
3;19;21;0;0;12.1;2.1;0;12.1;0;0
3;19;22;0;0;11.9;2.1;0;11.9;0;0
3;19;23;0;0;11.7;2.1;0;11.7;0;0
3;20;0;0;0;11.5;2.1;0;11.5;0;0
3;20;1;0;0;11.7;1.7;0;11.7;0;0
3;20;2;0;0;11.9;1.4;0;11.9;0;0
3;20;3;0;0;12.1;1;0;12.1;0;0
3;20;4;0;0;12;1;0;12;0;0
3;20;5;0;0;12;2.1;0;12;0;0
3;20;6;0;0;12.2;2.1;0;12.2;0;0
3;20;7;0;28;13;1;28;11.392;214.355;167.008
3;20;8;15;115;13;1;119.53;14.639;900.073;838.723
3;20;9;23;210;13;1;220.627;18.465;1644.912;1566.023
3;20;10;81;259;13;2.1;306.859;20.098;2273.124;2177.556
3;20;11;86;309;14;2.1;367.433;22.985;2699.248;2591.385
3;20;12;87;333;14.3;1;395.797;26.525;2873.373;2760.258
3;20;13;87;329;15;1;391.208;27.205;2833.029;2721.142
3;20;14;85;298;16;3.1;354.066;23.799;2592.918;2488.198
3;20;15;43;262;14.1;3.1;286.051;20.197;2120.594;2029.235
3;20;16;14;158;13;4.1;163.895;15.649;1233.786;1164.878
3;20;17;0;62;13;3.1;62;13.197;471.781;419.419
3;20;18;0;6;12.3;3.1;6;10.844;46.017;1.794
3;20;19;0;0;12;3.1;0;12;0;0
3;20;20;0;0;12;3.1;0;12;0;0
3;20;21;0;0;12;3.1;0;12;0;0
3;20;22;0;0;12;2.1;0;12;0;0
3;20;23;0;0;12;1;0;12;0;0
3;21;0;0;0;11.9;3.1;0;11.9;0;0
3;21;1;0;0;11.9;3.1;0;11.9;0;0
3;21;2;0;0;11.8;3.1;0;11.8;0;0
3;21;3;0;0;11.8;3.1;0;11.8;0;0
3;21;4;0;0;12;3.1;0;12;0;0
3;21;5;0;0;12;2.1;0;12;0;0
3;21;6;0;0;11.9;3.1;0;11.9;0;0
3;21;7;0;14;12;3.3;14;10.601;107.461;62.111
3;21;8;0;57;12.2;3.4;57;11.877;435.659;384.017
3;21;9;0;103;12.4;3.6;103;13.261;783.597;724.771
3;21;10;0;143;12.5;3.8;143;14.362;1083.881;1018.428
3;21;11;0;170;12.6;3.9;170;15.142;1285.138;1215.024
3;21;12;0;183;12.8;4.1;183;15.621;1381.17;1308.768
3;21;13;0;181;13;4.1;181;15.807;1365.214;1293.196
3;21;14;0;164;13;3.1;164;15.717;1237.367;1168.375
3;21;15;0;133;13;4.1;133;14.713;1006.891;943.174
3;21;16;0;91;13;2.1;91;13.96;690.677;633.821
3;21;17;0;44;13;0;44;12.341;335.776;286.099
3;21;18;0;6;12.8;0;6;9.527;46.219;1.992
3;21;19;0;0;12;2.1;0;12;0;0
3;21;20;0;0;12;1;0;12;0;0
3;21;21;0;0;10.9;0;0;10.9;0;0
3;21;22;0;0;11;1;0;11;0;0
3;21;23;0;0;11;1;0;11;0;0
3;22;0;0;0;11.9;5.1;0;11.9;0;0
3;22;1;0;0;12;5.8;0;12;0;0
3;22;2;0;0;12.2;6.5;0;12.2;0;0
3;22;3;0;0;12.3;7.2;0;12.3;0;0
3;22;4;0;0;12;6.2;0;12;0;0
3;22;5;0;0;11;6.2;0;11;0;0
3;22;6;0;1;10.6;5.1;1;9.233;7.711;0
3;22;7;89;49;12;5.1;60.878;11.809;426.766;375.302
3;22;8;437;97;13;8.8;233.841;15.356;1624.216;1545.846
3;22;9;611;127;14.3;10.8;415.981;18.704;3000.693;2883.653
3;22;10;746;124;16;8.8;572.631;23.401;4141.712;3986.337
3;22;11;813;122;17;9.8;682.595;25.444;4939.1;4753.556
3;22;12;830;129;17.7;10.8;736.066;26.337;5322.722;5121.674
3;22;13;806;137;18;10.8;720.65;26.484;5207.079;5010.772
3;22;14;731;154;18;10.8;642.476;25.516;4643.646;4469.604
3;22;15;646;146;18.1;9.8;512.63;24.388;3685.142;3545.789
3;22;16;366;178;17;11.8;335.007;20.389;2411.049;2311.588
3;22;17;133;117;16;8.2;151.871;17.538;1089.209;1023.635
3;22;18;0;20;15.2;7.2;20;14.605;151.467;105.302
3;22;19;0;0;14;7.2;0;14;0;0
3;22;20;0;0;13;4.1;0;13;0;0
3;22;21;0;0;12.9;4.1;0;12.9;0;0
3;22;22;0;0;13;5.1;0;13;0;0
3;22;23;0;0;13;6.2;0;13;0;0
3;23;0;0;0;12.3;5.1;0;12.3;0;0
3;23;1;0;0;11.9;4.8;0;11.9;0;0
3;23;2;0;0;11.6;4.4;0;11.6;0;0
3;23;3;0;0;11.2;4.1;0;11.2;0;0
3;23;4;0;0;11;4.1;0;11;0;0
3;23;5;0;0;11;6.2;0;11;0;0
3;23;6;0;1;11.3;4.1;1;9.774;7.697;0
3;23;7;0;35;12;6.2;35;11.392;267.944;219.577
3;23;8;19;124;13.3;7.2;130.055;14.306;979.849;916.737
3;23;9;25;220;14.6;8.2;231.959;17.114;1737.573;1656.332
3;23;10;193;285;17;8.8;402.074;21.884;2953.485;2837.908
3;23;11;336;319;17;9.8;552.36;23.627;4039.212;3887.513
3;23;12;520;270;19;11.8;652.794;26.11;4733.073;4555.591
3;23;13;566;234;20;8.2;646.399;29.086;4634.673;4460.975
3;23;14;557;211;20;8.2;585.575;28.193;4199.875;4042.394
3;23;15;418;236;19.9;8.7;474.926;26.169;3412.967;3282.732
3;23;16;388;169;20;13.9;336.958;23.048;2400.078;2300.93
3;23;17;296;92;18;11.8;170.732;19.409;1163.451;1096.176
3;23;18;0;26;16.9;10.8;26;16.522;195.632;148.639
3;23;19;0;0;15;6.2;0;15;0;0
3;23;20;0;0;14;3.1;0;14;0;0
3;23;21;0;0;13.1;4.1;0;13.1;0;0
3;23;22;0;0;13;6.2;0;13;0;0
3;23;23;0;0;13;8.8;0;13;0;0
3;24;0;0;0;12.8;8.7;0;12.8;0;0
3;24;1;0;0;12;8.2;0;12;0;0
3;24;2;0;0;11;4.1;0;11;0;0
3;24;3;0;0;11;6.2;0;11;0;0
3;24;4;0;0;11;6.2;0;11;0;0
3;24;5;0;0;11;6.2;0;11;0;0
3;24;6;0;2;10.5;6.2;2;9.336;15.416;0
3;24;7;92;53;11;8.2;66.307;10.951;467.908;415.623
3;24;8;326;116;13;7.2;221.7;15.487;1571.609;1494.553
3;24;9;206;224;14.7;7.2;323.655;18.98;2380.94;2282.337
3;24;10;463;234;16;8.8;517.255;22.554;3773.391;3631.012
3;24;11;657;206;17;10.8;665.553;24.663;4838.107;4656.539
3;24;12;794;155;18;9.8;743.225;27.313;5359.779;5157.199
3;24;13;693;196;18;12.9;704.015;25.321;5113.241;4920.739
3;24;14;506;243;17;9.8;585.411;24.266;4260.769;4101.065
3;24;15;253;260;16.9;8.7;405.631;22.155;2967.616;2851.602
3;24;16;155;212;16.4;7.2;279.697;20.195;2046.877;1957.515
3;24;17;81;116;16;5.6;137.851;17.694;1003.501;939.861
3;24;18;0;21;15.5;4.1;21;14.73;158.974;112.668
3;24;19;0;0;15;6.2;0;15;0;0
3;24;20;0;0;14.6;5.1;0;14.6;0;0
3;24;21;0;0;14.2;4.1;0;14.2;0;0
3;24;22;0;0;15;5.1;0;15;0;0
3;24;23;0;0;14;6.2;0;14;0;0
3;25;0;0;0;14.4;6.2;0;14.4;0;0
3;25;1;0;0;14.2;6.2;0;14.2;0;0
3;25;2;0;0;14;6.2;0;14;0;0
3;25;3;0;0;13.8;6.2;0;13.8;0;0
3;25;4;0;0;14;4.1;0;14;0;0
3;25;5;0;0;14;4.1;0;14;0;0
3;25;6;0;1;14.4;6.2;1;13.254;7.608;0
3;25;7;0;39;15.2;6.2;39;14.698;295.269;246.376
3;25;8;20;129;16;6.2;135.595;17.232;1011.667;947.843
3;25;9;25;226;16;6.2;238.228;19.133;1772.578;1690.439
3;25;10;83;273;16;9.8;324.205;19.527;2407.691;2308.327
3;25;11;88;323;17;8.8;384.985;21.719;2841.516;2729.371
3;25;12;89;347;17.3;11.8;413.349;21.529;3054.216;2935.504
3;25;13;89;342;17;10.8;407.635;21.44;3012.687;2895.273
3;25;14;86;309;17;9.8;367.555;21.22;2716.751;2608.366
3;25;15;80;252;17.3;9.8;298.368;20.593;2205.85;2112.151
3;25;16;22;196;18;8.8;205.693;20.205;1523.946;1448.07
3;25;17;8;101;17;8.2;103.188;17.725;770.351;711.808
3;25;18;0;16;16.4;8.2;16;15.755;120.703;75.109
3;25;19;0;0;16;8.2;0;16;0;0
3;25;20;0;0;15;8.2;0;15;0;0
3;25;21;0;0;15.2;10.8;0;15.2;0;0
3;25;22;0;0;14;9.3;0;14;0;0
3;25;23;0;0;14;7.2;0;14;0;0
3;26;0;0;0;12.7;4.1;0;12.7;0;0
3;26;1;0;0;12.1;3.4;0;12.1;0;0
3;26;2;0;0;11.6;2.8;0;11.6;0;0
3;26;3;0;0;11;2.1;0;11;0;0
3;26;4;0;0;12;3.1;0;12;0;0
3;26;5;0;0;12;2.1;0;12;0;0
3;26;6;0;2;12.3;4.1;2;10.802;15.341;0
3;26;7;0;47;14;6.2;47;13.623;357.128;307.035
3;26;8;93;144;17;6.2;175.178;18.941;1279.414;1209.434
3;26;9;215;223;17.4;9.8;329.306;20.965;2406.85;2307.51
3;26;10;249;276;18;11.8;430.887;22.411;3157.589;3035.615
3;26;11;220;332;18;8.8;488.033;24.256;3565.851;3430.534
3;26;12;185;360;18;10.8;498.768;23.614;3656.428;3518.053
3;26;13;150;356;19;8.2;467.274;25.324;3405.56;3275.569
3;26;14;116;319;18;8.8;398.461;23.033;2925.68;2810.96
3;26;15;59;268;16.8;8.7;302.429;20.451;2239.34;2144.713
3;26;16;321;192;17;8.8;334.655;20.998;2417.019;2317.388
3;26;17;310;105;17;7.2;190.949;19.323;1312.6;1241.835
3;26;18;22;30;16;8.2;32.122;15.663;233.788;186.072
3;26;19;0;0;14;7.2;0;14;0;0
3;26;20;0;0;13;8.2;0;13;0;0
3;26;21;0;0;13;12.9;0;13;0;0
3;26;22;0;0;12.4;11.3;0;12.4;0;0
3;26;23;0;0;11.8;9.8;0;11.8;0;0
3;27;0;0;0;11.2;8.2;0;11.2;0;0
3;27;1;0;0;10.6;7.5;0;10.6;0;0
3;27;2;0;0;10.1;6.9;0;10.1;0;0
3;27;3;0;0;9.5;6.2;0;9.5;0;0
3;27;4;0;0;9;5.1;0;9;0;0
3;27;5;0;0;8;3.1;0;8;0;0
3;27;6;0;4;8;4.1;4;6.526;31.12;0
3;27;7;99;64;10;5.1;79.973;10.164;570.922;516.551
3;27;8;339;135;11;8.2;250.502;13.706;1801.476;1718.591
3;27;9;337;228;12;8.7;396.412;16.802;2927.901;2813.114
3;27;10;532;234;15;8.2;567.621;22.651;4141.288;3985.928
3;27;11;627;249;15;7.2;696.716;25.538;5054.985;4864.826
3;27;12;767;187;14.1;8.7;765.823;24.478;5582.578;5370.662
3;27;13;848;122;16;8.8;754.726;26.222;5463.425;5256.529
3;27;14;828;112;16;12.9;682.574;23.066;4979.226;4792.091
3;27;15;697;146;16.1;12.9;555.456;21.748;4037.887;3886.236
3;27;16;616;111;15;8.2;387.085;20.155;2757.829;2648.214
3;27;17;311;109;15;8.2;196.38;17.223;1363.584;1291.605
3;27;18;15;32;13.4;7.2;33.474;13.045;248.882;200.879
3;27;19;0;0;12;8.2;0;12;0;0
3;27;20;0;0;12;7.2;0;12;0;0
3;27;21;0;0;11.1;6.2;0;11.1;0;0
3;27;22;0;0;9;3.1;0;9;0;0
3;27;23;0;0;9;4.1;0;9;0;0
3;28;0;0;0;9;3.1;0;9;0;0
3;28;1;0;0;8.6;3.4;0;8.6;0;0
3;28;2;0;0;8.1;3.8;0;8.1;0;0
3;28;3;0;0;7.7;4.1;0;7.7;0;0
3;28;4;0;0;6;2.1;0;6;0;0
3;28;5;0;0;7;3.1;0;7;0;0
3;28;6;0;4;6.3;3.1;4;4.528;31.324;0
3;28;7;114;67;9;4.1;86.025;9.29;612.633;557.403
3;28;8;375;133;11;4.1;262.808;15.375;1875.656;1790.841
3;28;9;338;231;12.8;4.1;401.688;20.594;2930.396;2815.531
3;28;10;281;314;14;2.1;491.63;26.54;3552.643;3417.769
3;28;11;118;417;15;1;501.823;30.997;3585.345;3449.373
3;28;12;47;389;15.8;5.1;424.681;23.517;3118.052;2997.332
3;28;13;53;379;14;6.2;418.771;20.599;3105.577;2985.251
3;28;14;89;316;14;6.2;377.69;19.881;2804.932;2693.897
