"PVWatts: Hourly PV Performance Data"
"Requested Location:","toulouse"
"Location:","MONTPELLIER, FRANCE"
"Lat (deg N):","43.58"
"Lng (deg E):","3.97"
"Elev (m):","6"
"DC System Size (kW):","8.505"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","0"
"Array Azimuth (deg):","180"
"System Losses:","14"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.2"

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","6","9","240","47","8.2","2.1","87.283","8.554","567.746","513.44"
"1","6","10","359","99","12","1","201.343","16.657","1379.057","1306.707"
"1","6","11","478","119","12.9","1.5","293.664","20.289","2035.65","1946.589"
"1","6","12","475","146","13.8","2.1","337.448","21.95","2364.348","2266.215"
"1","6","13","472","128","14","3","314.619","20.812","2203.722","2110.082"
"1","6","14","196","154","13.1","3.5","221.215","17.344","1605.188","1527.295"
"1","6","15","1","87","12.2","4.1","87.249","13.018","673.648","617.15"
"1","6","16","0","26","11","4.1","26","10.166","203.431","156.29"
"1","6","17","0","1","10","0","1","6.137","7.963","0"
"1","6","18","0","0","9.6","4.1","0","9.6","0","0"
"1","6","19","0","0","8.9","2.7","0","8.9","0","0"
"1","6","20","0","0","8.2","1.4","0","8.2","0","0"
"1","6","21","0","0","7.5","0","0","7.5","0","0"
"1","6","22","0","0","7","2","0","7","0","0"
"1","6","23","0","0","6.3","2.5","0","6.3","0","0"
"1","7","0","0","0","5.7","3.1","0","5.7","0","0"
"1","7","1","0","0","5.6","2.8","0","5.6","0","0"
"1","7","2","0","0","5.4","2.4","0","5.4","0","0"
"1","7","3","0","0","5.3","2.1","0","5.3","0","0"
"1","7","4","0","0","4","2","0","4","0","0"
"1","7","5","0","0","4","3","0","4","0","0"
"1","7","6","0","0","4.2","3.1","0","4.2","0","0"
"1","7","7","0","0","4","3","0","4","0","0"
"1","7","8","0","10","5","4.1","10","3.562","80.513","35.659"
"1","7","9","191","51","9.2","5.1","83.198","9.429","557.902","503.797"
"1","7","10","319","104","12","4.1","195.286","14.898","1360.946","1289.03"
"1","7","11","446","124","16","5.1","287.621","20.578","1999.192","1911.109"
"1","7","12","526","122","16.7","7.2","334.962","21.25","2339.492","2242.062"
"1","7","13","450","147","16","8.7","325.89","19.92","2304.864","2208.408"
"1","7","14","447","111","15","8.7","265.377","18.051","1844.016","1760.027"
"1","7","15","298","88","14","7.2","163.101","15.776","1110.097","1044.047"
"1","7","16","41","44","13","7.2","49.102","12.854","360.561","310.401"
"1","7","17","0","2","10","6.1","2","8.849","15.739","0"
"1","7","18","0","0","9.9","3.1","0","9.9","0","0"
"1","7","19","0","0","8","2","0","8","0","0"
"1","7","20","0","0","6","0","0","6","0","0"
