"PVWatts: Hourly PV Performance Data"
"Requested Location:","toulouse"
"Location:","MONTPELLIER, FRANCE"
"Lat (deg N):","43.58"
"Lng (deg E):","3.97"
"Elev (m):","6"
"DC System Size (kW):","8.505"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","0"
"Array Azimuth (deg):","180"
"System Losses:","14"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.2"

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","22","0","0","1.7","2.8","0","1.7","0","0"
"1","1","23","0","0","1.2","2.4","0","1.2","0","0"
"1","2","0","0","0","0.7","2.1","0","0.7","0","0"
"1","2","1","0","0","0.4","2.1","0","0.4","0","0"
"1","2","2","0","0","0.1","2.1","0","0.1","0","0"
"1","2","3","0","0","-0.2","2.1","0","-0.2","0","0"
"1","2","4","0","0","-1","3","0","-1","0","0"
"1","2","5","0","0","-2","1","0","-2","0","0"
"1","2","6","0","0","-1.4","0","0","-1.4","0","0"
"1","2","7","0","0","-3","2","0","-3","0","0"
"1","2","8","0","10","-3","1","10","-5.559","83.648","38.737"
"1","2","9","305","36","0.8","2.1","86.663","1.063","547.774","493.875"
"1","2","10","304","114","4","1","199.707","8.584","1439.651","1365.838"
"1","2","11","305","160","6","1","270.034","13.527","1974.924","1887.488"
"1","2","12","148","190","8","1","248.745","15.19","1857.585","1773.243"
"1","2","13","322","167","9","0","291.897","20.768","2077.564","1987.374"
"1","2","14","432","109","9","1","253.403","16.45","1766.75","1684.761"
"1","2","15","262","92","10","1","154.841","14.021","1069.382","1004.258"
"1","2","16","28","39","8","1","42.129","7.654","320.393","271.015"
"1","2","17","0","1","5","0","1","1.188","8.133","0"
"1","2","18","0","0","4","2.1","0","4","0","0"
"1","2","19","0","0","4","3","0","4","0","0"
"1","2","20","0","0","4","3","0","4","0","0"
"1","2","21","0","0","7","4.1","0","7","0","0"
"1","2","22","0","0","6.3","3.4","0","6.3","0","0"
"1","2","23","0","0","5.5","2.8","0","5.5","0","0"
"1","3","0","0","0","4.8","2.1","0","4.8","0","0"
"1","3","1","0","0","3.9","1.7","0","3.9","0","0"
"1","3","2","0","0","3","1.4","0","3","0","0"
"1","3","3","0","0","2.1","1","0","2.1","0","0"
"1","3","4","0","0","1","1","0","1","0","0"
"1","3","5","0","0","1","1","0","1","0","0"
"1","3","6","0","0","1.6","3.1","0","1.6","0","0"
"1","3","7","0","0","1","2","0","1","0","0"
"1","3","8","0","10","1","1","10","-1.504","82.254","37.369"
"1","3","9","127","54","4.3","2.1","75.129","4.267","538.394","484.686"
"1","3","10","156","115","7","1","159.076","10.157","1176.614","1109.035"
"1","3","11","106","161","10","1","199.345","14.971","1490.066","1415.023"
"1","3","12","34","168","11","1","181.541","15.608","1376.035","1303.757"
"1","3","13","33","162","12","2","174.856","15.464","1325.838","1254.76"
"1","3","14","16","135","11","3","140.38","13.138","1078.006","1012.686"
"1","3","15","0","84","11.3","3.1","84","11.948","652.091","596.042"
"1","3","16","0","23","10","0","23","8.027","181.649","134.919"
"1","3","17","0","1","8","0","1","4.007","8.036","0"
"1","3","18","0","0","6","0","0","6","0","0"
"1","3","19","0","0","6","1","0","6","0","0"
"1","3","20","0","0","5","1","0","5","0","0"
"1","3","21","0","0","4","2","0","4","0","0"
"1","3","22","0","0","3","2","0","3","0","0"
"1","3","23","0","0","3","2","0","3","0","0"
"1","4","0","0","0","2.6","4.1","0","2.6","0","0"
"1","4","1","0","0","4","2","0","4","0","0"
"1","4","2","0","0","3.8","2","0","3.8","0","0"
"1","4","3","0","0","3.7","2.1","0","3.7","0","0"
"1","4","4","0","0","2","2","0","2","0","0"
"1","4","5","0","0","1","0","0","1","0","0"
"1","4","6","0","0","0.8","1","0","0.8","0","0"
"1","4","7","0","0","0.4","1.5","0","0.4","0","0"
"1","4","8","0","10","0","2","10","-1.993","82.422","37.534"
"1","4","9","40","58","3.3","1","64.67","2.79","501.891","448.922"
"1","4","10","97","122","6","2","149.477","8.294","1136.545","1069.89"
"1","4","11","121","172","10","1","215.904","15.461","1608.293","1530.323"
"1","4","12","112","203","13","2","247.772","18.587","1833.181","1749.474"
"1","4","13","115","177","13","1.5","222.012","18.483","1637.959","1559.245"
"1","4","14","45","146","13","1","161.228","17.072","1206.655","1138.38"
"1","4","15","0","85","13.4","0","85","15.89","648.336","592.366"
"1","4","16","0","24","13.2","1","24","11.941","186.317","139.499"
"1","4","17","0","1","12.9","2.1","1","10.995","7.796","0"
"1","4","18","0","0","12.7","3.1","0","12.7","0","0"
"1","4","19","0","0","13","3","0","13","0","0"
"1","4","20","0","0","12","4.1","0","12","0","0"
"1","4","21","0","0","12","6.2","0","12","0","0"
"1","4","22","0","0","12","7.2","0","12","0","0"
"1","4","23","0","0","11","2","0","11","0","0"
"1","5","0","0","0","12","5.1","0","12","0","0"
"1","5","1","0","0","11.8","4.8","0","11.8","0","0"
"1","5","2","0","0","11.7","4.4","0","11.7","0","0"
"1","5","3","0","0","11.5","4.1","0","11.5","0","0"
"1","5","4","0","0","13","9.7","0","13","0","0"
