"PVWatts: Monthly PV Performance Data"
"Requested Location:","toulouse"
"Location:","MONTPELLIER, FRANCE"
"Lat (deg N):","43.58"
"Lng (deg E):","3.97"
"Elev (m):","6"
"DC System Size (kW):","8.505"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","0"
"Array Azimuth (deg):","180"
"System Losses:","14"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.2"

"Month","AC System Output (kWh)","Solar Radiation (kWh/m^2/day)","Plane of Array Irradiance (W/m^2)","DC array Output (kWh)"
"1","362.09402466","1.71844971","53.27194214","383.58309937"
"2","454.2958374","2.33413172","65.35569","478.30322266"
"3","849.41223145","3.94361711","122.2521286","888.39172363"
"4","996.07928467","4.8437109","145.31132507","1041.296875"
"5","1205.1854248","5.76409626","178.6869812","1259.05102539"
"6","1285.9239502","6.49182224","194.75466919","1342.59143066"
"7","1348.27075195","6.74037218","208.95153809","1407.4329834"
"8","1193.36584473","5.96835518","185.01901245","1245.74938965"
"9","847.90856934","4.28115606","128.43467712","887.24316406"
"10","582.05975342","2.78427172","86.31242371","611.49169922"
"11","359.45629883","1.77574468","53.27233887","380.64575195"
"12","293.37869263","1.41390467","43.83104324","312.22573853"
"Total","9777.43066408","48.05963243","1465.45376968","10238.00610352"
